Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Age
CBH,Travel Agency,Offline,Comprehensive Plan,0,186,MALAYSIA,81
CBH,Travel Agency,Offline,Comprehensive Plan,0,186,MALAYSIA,71
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,65,AUSTRALIA,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,60,AUSTRALIA,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,79,ITALY,41
JZI,Airlines,Online,Value Plan,0,66,UNITED STATES,44
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,47,UNITED STATES,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,63,AUSTRALIA,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,57,THAILAND,44
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,186,AUSTRALIA,37
JZI,Airlines,Online,Basic Plan,0,1,MALAYSIA,47
KML,Travel Agency,Online,Premier Plan,0,53,NORWAY,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,MALAYSIA,64
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,39,VIET NAM,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,DENMARK,53
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,48,DENMARK,43
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,UNITED STATES,58
JZI,Airlines,Online,Basic Plan,0,3,MALAYSIA,47
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,THAILAND,37
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,136,NORWAY,32
C2B,Airlines,Online,Bronze Plan,0,12,SINGAPORE,44
C2B,Airlines,Online,Bronze Plan,0,7,SINGAPORE,25
C2B,Airlines,Online,Bronze Plan,1,12,SINGAPORE,34
C2B,Airlines,Online,Silver Plan,0,190,SINGAPORE,26
C2B,Airlines,Online,Annual Silver Plan,0,364,SINGAPORE,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,29,UNITED STATES,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,28,UNITED STATES,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,153,JAPAN,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,28,UNITED KINGDOM,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,4,UNITED KINGDOM,61
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,54,AUSTRALIA,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,24,AUSTRALIA,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,INDONESIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,MALAYSIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,45,MALAYSIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,35,INDIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,28,THAILAND,44
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,24,CHINA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,FRANCE,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,183,INDONESIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,36,"TAIWAN, PROVINCE OF CHINA",20
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,VIET NAM,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,38,SINGAPORE,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,36,UNITED STATES,49
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,THAILAND,50
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,MALAYSIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,THAILAND,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,PHILIPPINES,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,27,INDONESIA,62
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,16,MYANMAR,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,CHINA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,39,INDONESIA,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,19,MALAYSIA,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,18,HONG KONG,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,189,MALAYSIA,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,105,JAPAN,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,23,"KOREA, REPUBLIC OF",36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,57,UNITED ARAB EMIRATES,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,29,"TAIWAN, PROVINCE OF CHINA",36
EPX,Travel Agency,Online,Cancellation Plan,0,1,INDIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,15,MYANMAR,36
EPX,Travel Agency,Online,Cancellation Plan,0,16,JAPAN,65
EPX,Travel Agency,Online,Cancellation Plan,0,180,PHILIPPINES,36
EPX,Travel Agency,Online,Cancellation Plan,0,90,HONG KONG,36
EPX,Travel Agency,Online,Cancellation Plan,0,91,PHILIPPINES,36
EPX,Travel Agency,Online,Cancellation Plan,0,2,SINGAPORE,31
EPX,Travel Agency,Online,Cancellation Plan,0,17,THAILAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,10,PHILIPPINES,36
EPX,Travel Agency,Online,Cancellation Plan,0,11,THAILAND,64
EPX,Travel Agency,Online,Cancellation Plan,0,279,NAMIBIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,36,"TAIWAN, PROVINCE OF CHINA",20
EPX,Travel Agency,Online,Cancellation Plan,0,12,UNITED STATES,32
EPX,Travel Agency,Online,Cancellation Plan,0,18,VIET NAM,36
EPX,Travel Agency,Online,Cancellation Plan,0,6,INDIA,43
EPX,Travel Agency,Online,Cancellation Plan,0,2,MALAYSIA,35
EPX,Travel Agency,Online,Cancellation Plan,0,18,THAILAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,2,HONG KONG,36
EPX,Travel Agency,Online,Cancellation Plan,0,39,SINGAPORE,36
EPX,Travel Agency,Online,Cancellation Plan,0,4,UNITED STATES,35
EPX,Travel Agency,Online,Cancellation Plan,0,38,"KOREA, REPUBLIC OF",36
EPX,Travel Agency,Online,Cancellation Plan,0,10,"KOREA, REPUBLIC OF",36
EPX,Travel Agency,Online,Cancellation Plan,0,92,NEW ZEALAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,22,COSTA RICA,24
EPX,Travel Agency,Online,Cancellation Plan,0,10,THAILAND,30
EPX,Travel Agency,Online,Cancellation Plan,0,64,MALAYSIA,61
EPX,Travel Agency,Online,Cancellation Plan,0,7,MALAYSIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,8,VIET NAM,36
EPX,Travel Agency,Online,Cancellation Plan,0,37,THAILAND,43
EPX,Travel Agency,Online,Cancellation Plan,0,2,"KOREA, REPUBLIC OF",36
EPX,Travel Agency,Online,Cancellation Plan,0,31,"KOREA, REPUBLIC OF",29
EPX,Travel Agency,Online,Cancellation Plan,0,41,JAPAN,40
EPX,Travel Agency,Online,Cancellation Plan,0,6,MALAYSIA,29
EPX,Travel Agency,Online,Cancellation Plan,0,8,INDONESIA,43
EPX,Travel Agency,Online,Cancellation Plan,0,5,INDONESIA,21
EPX,Travel Agency,Online,Cancellation Plan,0,126,CHINA,36
EPX,Travel Agency,Online,Cancellation Plan,0,10,MYANMAR,36
EPX,Travel Agency,Online,Cancellation Plan,0,29,PHILIPPINES,21
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,50,AUSTRALIA,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,1,VIET NAM,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,CHINA,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,1,SINGAPORE,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,8,NEW ZEALAND,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,19,MALAYSIA,62
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,24,"KOREA, REPUBLIC OF",36
RAB,Airlines,Online,Value Plan,0,4,BRUNEI DARUSSALAM,44
SSI,Airlines,Online,Ticket Protector,0,55,SINGAPORE,48
SSI,Airlines,Online,Ticket Protector,0,15,SINGAPORE,48
JZI,Airlines,Online,Basic Plan,0,45,AUSTRALIA,31
JZI,Airlines,Online,Basic Plan,0,181,INDONESIA,48
JZI,Airlines,Online,Basic Plan,0,5,INDONESIA,29
JZI,Airlines,Online,Basic Plan,0,22,THAILAND,66
JZI,Airlines,Online,Basic Plan,0,76,AUSTRALIA,57
JZI,Airlines,Online,Basic Plan,0,41,CHINA,37
JZI,Airlines,Online,Basic Plan,0,43,THAILAND,34
JZI,Airlines,Online,Basic Plan,0,5,CHINA,41
ART,Airlines,Online,24 Protect,0,56,PHILIPPINES,48
ART,Airlines,Online,24 Protect,0,3,SINGAPORE,48
ART,Airlines,Online,24 Protect,0,3,MALAYSIA,48
C2B,Airlines,Online,Bronze Plan,0,20,SINGAPORE,30
C2B,Airlines,Online,Bronze Plan,0,29,SINGAPORE,30
C2B,Airlines,Online,Bronze Plan,0,164,SINGAPORE,26
C2B,Airlines,Online,Bronze Plan,0,23,SINGAPORE,35
C2B,Airlines,Online,Silver Plan,0,13,SINGAPORE,34
C2B,Airlines,Online,Silver Plan,0,29,SINGAPORE,45
C2B,Airlines,Online,Gold Plan,0,23,SINGAPORE,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,23,MALAYSIA,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,29,AUSTRALIA,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,MALAYSIA,53
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,26,UNITED STATES,40
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,26,THAILAND,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,152,UNITED STATES,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,48,AUSTRALIA,26
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,MALAYSIA,60
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,30,MALAYSIA,27
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,9,THAILAND,50
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,32,MALAYSIA,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,MALAYSIA,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,4,MALAYSIA,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,111,AUSTRALIA,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,34,AUSTRALIA,34
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,19,MALAYSIA,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,20,AUSTRALIA,34
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,201,AUSTRALIA,23
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,2,SINGAPORE,44
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,VIET NAM,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,THAILAND,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,39,POLAND,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,HONG KONG,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,48,MALAYSIA,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,62,"TAIWAN, PROVINCE OF CHINA",36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,MALAYSIA,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,90,"KOREA, REPUBLIC OF",36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,PHILIPPINES,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,MALAYSIA,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,19,THAILAND,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,SINGAPORE,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,18,THAILAND,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,18,VIET NAM,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,22,CHINA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,CHINA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,MALAYSIA,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,18,JAPAN,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,CHINA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,81,"KOREA, REPUBLIC OF",24
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,36,SINGAPORE,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,28,SINGAPORE,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,57,"KOREA, REPUBLIC OF",57
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,42,MALAYSIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,91,JAPAN,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,HONG KONG,61
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,MALAYSIA,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,49,MALAYSIA,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,INDONESIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,28,INDIA,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,124,JAPAN,25
EPX,Travel Agency,Online,Cancellation Plan,0,7,MALAYSIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,22,HONG KONG,36
EPX,Travel Agency,Online,Cancellation Plan,0,1,UNITED STATES,47
EPX,Travel Agency,Online,Cancellation Plan,0,49,INDIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,28,THAILAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,13,CHINA,36
EPX,Travel Agency,Online,Cancellation Plan,0,118,MYANMAR,35
EPX,Travel Agency,Online,Cancellation Plan,0,7,SINGAPORE,36
EPX,Travel Agency,Online,Cancellation Plan,0,7,"KOREA, REPUBLIC OF",36
EPX,Travel Agency,Online,Cancellation Plan,0,52,SPAIN,36
EPX,Travel Agency,Online,Cancellation Plan,0,59,MYANMAR,21
EPX,Travel Agency,Online,Cancellation Plan,0,38,HONG KONG,36
EPX,Travel Agency,Online,Cancellation Plan,0,18,THAILAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,73,UNITED STATES,59
EPX,Travel Agency,Online,Cancellation Plan,0,21,INDONESIA,31
EPX,Travel Agency,Online,Cancellation Plan,0,25,MALAYSIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,19,"KOREA, REPUBLIC OF",36
EPX,Travel Agency,Online,Cancellation Plan,0,20,MALAYSIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,33,UNITED KINGDOM,36
EPX,Travel Agency,Online,Cancellation Plan,0,31,THAILAND,30
EPX,Travel Agency,Online,Cancellation Plan,0,24,THAILAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,1,UNITED STATES,28
EPX,Travel Agency,Online,Cancellation Plan,0,12,MALAYSIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,5,MALAYSIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,25,CZECH REPUBLIC,36
EPX,Travel Agency,Online,Cancellation Plan,0,12,HONG KONG,36
EPX,Travel Agency,Online,Cancellation Plan,0,12,THAILAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,94,AUSTRALIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,13,MYANMAR,36
EPX,Travel Agency,Online,Cancellation Plan,0,46,AUSTRALIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,29,"KOREA, REPUBLIC OF",30
EPX,Travel Agency,Online,Cancellation Plan,0,57,SINGAPORE,40
EPX,Travel Agency,Online,Cancellation Plan,0,82,GERMANY,36
EPX,Travel Agency,Online,Cancellation Plan,0,13,SRI LANKA,36
EPX,Travel Agency,Online,Cancellation Plan,0,12,CAMBODIA,36
EPX,Travel Agency,Online,Cancellation Plan,0,9,THAILAND,36
EPX,Travel Agency,Online,Cancellation Plan,0,6,THAILAND,33
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,55,AUSTRALIA,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,MALAYSIA,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,26,MALAYSIA,24
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,4,CHINA,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,25,CHINA,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,49,SINGAPORE,29
RAB,Airlines,Online,Value Plan,0,14,BRUNEI DARUSSALAM,39
SSI,Airlines,Online,Ticket Protector,0,54,SINGAPORE,48
SSI,Airlines,Online,Ticket Protector,0,40,SINGAPORE,48
SSI,Airlines,Online,Ticket Protector,0,11,SINGAPORE,48
JZI,Airlines,Online,Basic Plan,0,5,HONG KONG,67
JZI,Airlines,Online,Basic Plan,0,5,INDONESIA,53
JZI,Airlines,Online,Basic Plan,0,6,THAILAND,60
JZI,Airlines,Online,Basic Plan,0,2,VIET NAM,57
JZI,Airlines,Online,Basic Plan,0,15,CAMBODIA,57
JZI,Airlines,Online,Basic Plan,0,90,MALAYSIA,57
JZI,Airlines,Online,Basic Plan,0,28,HONG KONG,52
JZI,Airlines,Online,Basic Plan,0,21,VIET NAM,40
JZI,Airlines,Online,Basic Plan,0,130,INDONESIA,38
JZI,Airlines,Online,Basic Plan,0,34,CHINA,46
JZI,Airlines,Online,Value Plan,0,49,AUSTRIA,49
JZI,Airlines,Online,Value Plan,0,33,AUSTRALIA,72
C2B,Airlines,Online,Bronze Plan,0,19,SINGAPORE,31
C2B,Airlines,Online,Bronze Plan,0,4,SINGAPORE,35
C2B,Airlines,Online,Bronze Plan,0,9,SINGAPORE,26
C2B,Airlines,Online,Bronze Plan,0,28,SINGAPORE,33
C2B,Airlines,Online,Bronze Plan,0,18,SINGAPORE,45
C2B,Airlines,Online,Bronze Plan,0,18,SINGAPORE,34
C2B,Airlines,Online,Bronze Plan,0,55,SINGAPORE,30
C2B,Airlines,Online,Bronze Plan,0,32,SINGAPORE,27
C2B,Airlines,Online,Silver Plan,0,13,SINGAPORE,27
C2B,Airlines,Online,Silver Plan,0,13,SINGAPORE,30
